Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,N_Total,N_Success,N_Fail_Egg_Time,N_Fail_Egg_Cold,N_Fail_Parent_Dead,Overall_Mean_Energy_F,Overall_Var_Energy_F,Overall_Mean_Energy_M,Overall_Total_Neglect,Overall_Max_Neglect,Overall_Prop_Neglect,Overall_Hatch_Date,Successful_Mean_Energy_F,Successful_Var_Energy_F,Successful_Mean_Energy_M,Successful_Var_Energy_M,Successful_Total_Neglect,Successful_Max_Neglect,Successful_Prop_Neglect,Successful_Hatch_Date,Successful_Attendance_F,Successful_Prop_F,Successful_Attendance_M,Successful_Prop_M,Rate_Success,Rate_Fail_Egg_Time,Rate_Fail_Egg_Cold,Rate_Fail_Parent_Dead
200,300,200,700,162,47,1000,0,0,2,0,532.495174,4826.0332,698.830762,0.994,0.774,0.0223818285743098,38.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.002,0
200,300,200,800,130,47,1000,0,13,498,467,283.682248,24255.19736,587.811736,22.023,13.17,0.421032490203531,49.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.013,0.498,0.467
200,300,200,800,140,47,1000,0,110,544,124,301.904029,20583.232685,636.629693,17.984,8.919,0.309959541277206,55.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.11,0.544,0.124
200,300,200,800,150,47,1000,0,43,164,23,361.279186,10609.67449,713.423667,7.932,4.447,0.149137019648264,47.849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.043,0.164,0.023
200,300,200,800,160,47,1000,0,1,12,2,452.684211,6209.70145,765.528579,2.267,1.557,0.0485885887305021,40.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,0.012,0.002
200,300,200,800,170,47,1000,0,0,1,0,562.092921,6274.5577,805.803142,0.387,0.312,0.00906946671276947,37.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.001,0
200,300,200,800,162,47,1000,0,0,6,1,473.114203,5924.62824,772.696891,1.564,1.136,0.0347431842181765,39.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.006,0.001
200,300,200,900,130,47,1000,0,17,509,464,276.830277,23577.04416,643.414547,24.132,14.478,0.462463332467314,50.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.017,0.509,0.464
200,300,200,900,140,47,1000,0,127,541,148,294.485325,22071.99458,705.355106,19.063,9.521,0.331137524155263,55.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.127,0.541,0.148
200,300,200,900,150,47,1000,0,78,174,25,332.319593,13661.97032,779.851255,9.883,5.089,0.180903334100969,50.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.078,0.174,0.025
200,300,200,900,160,47,1000,0,0,19,3,402.335993,9293.99435,836.698237,3.37,2.206,0.0708231443648592,42.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.019,0.003
200,300,200,900,170,47,1000,0,0,1,0,501.225577,9733.82057,879.909167,0.693,0.537,0.0161141905216295,38.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.001,0
200,300,200,900,162,47,1000,0,0,5,2,424.200493,8823.29528,847.462558,2.309,1.605,0.0502487559216918,40.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.005,0.002
200,300,200,1000,130,47,1000,0,16,516,461,275.264154,21421.081114,703.369031,25.34,15.333,0.492453199008776,49.599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.016,0.516,0.461
200,300,200,1000,140,47,1000,0,119,574,164,288.670354,23525.7057,779.667858,19.985,9.842,0.348478887014928,55.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.119,0.574,0.164
200,300,200,1000,150,47,1000,0,98,235,34,320.144958,17151.84591,852.826344,11.529,5.623,0.207316803479675,52.153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.098,0.235,0.034
200,300,200,1000,160,47,1000,0,9,29,4,370.422792,14422.67661,904.976561,4.393,2.708,0.0913258803601019,43.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.009,0.029,0.004
200,300,200,1000,170,47,1000,0,0,0,0,448.341936,15617.03077,948.315703,1.152,0.89,0.0266427259391938,38.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,200,1000,162,47,1000,0,6,18,0,383.412957,14693.17971,915.154226,3.597,2.299,0.0759599721471389,42.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.006,0.018,0
200,300,300,400,130,47,1000,0,49,428,480,326.757096,26699.56624,387.979651,20.817,11.418,0.384887810943373,51.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.049,0.428,0.48
200,300,300,400,140,47,1000,0,115,292,93,382.068704,20712.09087,437.766758,12.512,6.151,0.221289806407644,51.686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.115,0.292,0.093
200,300,300,400,150,47,1000,0,18,40,10,484.338138,16877.77022,514.401187,3.33,1.947,0.0656275469049253,41.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.018,0.04,0.01
200,300,300,400,160,47,1000,0,0,0,0,599.859458,11370.11538,595.329439,0.322,0.24,0.00730012046826975,37.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,300,400,170,47,1000,0,0,0,0,695.252504,8173.31258,674.835524,0.012,0.012,0.000288034188034188,37.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,300,400,162,47,1000,0,0,0,0,619.425503,10625.52515,610.874854,0.211,0.168,0.00476227102234758,37.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,300,500,130,47,1000,0,35,497,442,316.211844,22266.9819,425.295603,21.761,12.676,0.400551865766129,52.061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.035,0.497,0.442
200,300,300,500,140,47,1000,0,89,402,96,365.6151,16628.92894,474.494922,14.151,7.404,0.246832330713686,52.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.089,0.402,0.096
200,300,300,500,150,47,1000,0,20,58,5,469.095086,12387.18399,540.845456,3.992,2.476,0.078515840614062,42.814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.02,0.058,0.005
200,300,300,500,160,47,1000,0,1,2,0,585.172063,8683.82721,610.806089,0.515,0.381,0.0114420231873033,37.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,0.002,0
200,300,300,500,170,47,1000,0,0,0,0,693.228427,7055.08673,685.17342,0.029,0.026,0.00069435419652811,37.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,300,500,162,47,1000,0,0,2,0,604.132786,8409.90341,622.847991,0.316,0.252,0.00718102822106072,37.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.002,0
200,300,300,600,130,47,1000,0,24,519,432,308.003985,18694.36467,479.159009,22.441,13.22,0.414369682250981,51.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.024,0.519,0.432
200,300,300,600,140,47,1000,0,105,464,115,344.705917,14340.27506,523.985394,15.328,8.114,0.266952998520424,54.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.105,0.464,0.115
200,300,300,600,150,47,1000,0,16,92,5,440.208886,9438.91934,583.450932,5.15,3.138,0.0992102062402205,44.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.016,0.092,0.005
200,300,300,600,160,47,1000,0,1,2,0,553.437361,6275.63032,638.439511,0.916,0.698,0.0204341625640281,38.424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,0.002,0
200,300,300,600,170,47,1000,0,0,0,0,670.982046,5839.88687,696.770315,0.078,0.071,0.00186694955561235,37.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,300,600,162,47,1000,0,0,3,0,574.680888,6096.2539,652.725651,0.564,0.467,0.0129055773533669,37.888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.003,0
200,300,300,700,130,47,1000,0,22,520,438,292.294386,19762.52722,533.837384,22.899,13.572,0.423830052686735,51.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.022,0.52,0.438
200,300,300,700,140,47,1000,0,105,515,117,324.434007,14797.05693,583.568155,16.683,8.694,0.288750205481148,54.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.105,0.515,0.117
200,300,300,700,150,47,1000,0,33,130,15,397.73057,8353.36969,645.005924,6.684,3.836,0.126015874678385,46.307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.033,0.13,0.015
200,300,300,700,160,47,1000,0,0,11,0,503.337495,5160.33663,690.922974,1.521,1.116,0.0332804688199521,39.363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.011,0
200,300,300,700,170,47,1000,0,0,0,0,628.894231,5441.08702,738.820748,0.188,0.164,0.00441463614101885,37.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,300,700,162,47,1000,0,1,1,0,533.869324,4686.39053,702.320974,0.896,0.729,0.0204175998434726,38.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,0.001,0
200,300,300,800,130,47,1000,0,20,505,457,281.196977,19427.93377,598.818569,23.506,13.931,0.443955262181293,50.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.02,0.505,0.457
200,300,300,800,140,47,1000,0,108,539,127,302.801993,17130.66277,646.874655,18.169,9.318,0.31405799390991,55.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.108,0.539,0.127
200,300,300,800,150,47,1000,0,51,157,17,360.764429,10026.55863,713.097738,8.144,4.511,0.152009317800246,48.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.051,0.157,0.017
200,300,300,800,160,47,1000,0,2,13,1,449.014369,6357.40639,763.907883,2.349,1.612,0.0503614843177871,40.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.002,0.013,0.001
200,300,300,800,170,47,1000,0,0,0,0,570.812228,5979.50589,803.108432,0.342,0.272,0.00799236147597407,37.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,300,800,162,47,1000,0,1,9,0,470.018624,5864.65018,773.134029,1.68,1.205,0.0367510685046846,39.592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.001,0.009,0
200,300,300,900,130,47,1000,0,21,528,447,275.889085,19995.75435,649.307799,24.883,14.551,0.473022329555133,50.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.021,0.528,0.447
200,300,300,900,140,47,1000,0,120,565,149,293.164223,18995.72189,716.37338,19.1,9.547,0.330635018249451,55.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.12,0.565,0.149
200,300,300,900,150,47,1000,0,62,199,24,335.661633,12672.17514,784.979232,9.947,5.137,0.182074917890678,50.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.062,0.199,0.024
200,300,300,900,160,47,1000,0,3,14,1,402.741252,9440.63793,837.202017,3.247,2.098,0.068856276787097,41.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.003,0.014,0.001
200,300,300,900,170,47,1000,0,0,1,0,503.162426,9766.54813,879.569923,0.656,0.532,0.0153179922986549,38.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.001,0
200,300,300,900,162,47,1000,0,2,6,1,418.731844,8902.96027,846.91985,2.419,1.643,0.0527580707514335,40.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.002,0.006,0.001
200,300,300,1000,130,47,1000,0,16,506,472,275.951349,20348.37813,702.378996,25.434,14.91,0.494686994635736,49.679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.016,0.506,0.472
200,300,300,1000,140,47,1000,0,136,587,144,288.187007,21477.36895,780.977621,20.742,10.144,0.360328742559939,56.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.136,0.587,0.144
200,300,300,1000,150,47,1000,0,106,244,23,319.176472,17167.95093,850.189237,11.826,5.814,0.211992290415117,52.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.106,0.244,0.023
200,300,300,1000,160,47,1000,0,5,25,5,371.8192,14117.58887,907.291291,4.398,2.661,0.0909367841618628,43.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.005,0.025,0.005
200,300,300,1000,170,47,1000,0,0,2,0,455.10257,15565.48008,950.695723,1.036,0.804,0.0238773556985231,38.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.002,0
200,300,300,1000,162,47,1000,0,4,13,0,380.870965,14140.1312,915.498887,3.664,2.289,0.0772166059769297,42.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.004,0.013,0
200,300,400,500,130,47,1000,0,51,470,455,315.122176,17970.17124,446.245024,22.283,12.176,0.415329152101893,51.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.051,0.47,0.455
200,300,400,500,140,47,1000,0,149,352,106,362.198054,13097.52544,491.0123,14.924,6.962,0.261360621145186,53.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.149,0.352,0.106
200,300,400,500,150,47,1000,0,28,47,13,465.167427,10802.83038,550.558287,4.596,2.497,0.0897168819917513,43.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.028,0.047,0.013
200,300,400,500,160,47,1000,0,0,2,2,577.46113,8653.6637,615.138006,0.717,0.492,0.0157339450721771,38.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.002,0.002
200,300,400,500,170,47,1000,0,0,0,0,690.215599,6896.09578,681.018749,0.017,0.017,0.000417015929806627,37.028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,400,500,162,47,1000,0,0,1,0,604.700078,8030.51691,625.276246,0.364,0.288,0.00838194634479334,37.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.001,0
200,300,400,600,130,47,1000,0,36,520,424,304.425705,16003.03293,491.12213,23.406,13.117,0.43239420923416,51.948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.036,0.52,0.424
