Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Egg_Neglect_Max,Did_Hatch,N,End_Energy_F,Mean_Energy_F,Var_Energy_F,End_Energy_M,Mean_Energy_M,Var_Energy_M,Total_Neglect,Max_Neglect,Season_Length,Scaled_Entropy,Scaled_Entropy_N_Adjusted
600,800,400,700,160,47,0,6,FALSE,149,736.3105503355705,713.8495973154362,7828.5839597315435,626.685067114094,599.9599395973154,11200.65832214765,12.74496644295302,8.308724832214764,55.04697986577181,0.9549001744400997,1.2469361707140652
600,800,400,700,160,47,0,7,TRUE,894,730.868100671141,731.988033557047,6524.215715883669,615.1305212527964,622.1802706935123,9544.988769574944,5.406040268456376,3.469798657718121,45.20022371364653,0.8356039377422743,0.9566862522035228
600,800,400,700,160,47,0,7,FALSE,106,733.7335943396226,712.0414622641509,7340.499056603773,604.682320754717,592.2967075471698,11332.00603773585,14.141509433962264,8.547169811320755,56.764150943396224,0.9659060912999757,1.291455192945675
600,800,400,700,170,47,0,1,TRUE,602,790.5078023255815,789.4315714285714,6107.269534883721,677.4790548172757,690.7140049833887,6527.2512624584715,0.2574750830564784,0.20930232558139536,37.475083056478404,0.6046565468877702,0.6102372058909121
600,800,400,700,170,47,0,1,FALSE,398,780.6957010050252,742.4561959798995,7085.125100502512,670.7778969849246,636.0928768844221,10119.646859296483,4.3542713567839195,3.457286432160804,43.70854271356784,0.8280559704791082,0.9219290937810237
600,800,400,700,170,47,0,2,TRUE,718,782.6095626740947,776.9803286908078,6026.603704735376,675.2244749303621,679.2646295264624,6842.050222841226,0.7256267409470752,0.5807799442896936,38.18802228412256,0.6413153341580735,0.6564518023305416
600,800,400,700,170,47,0,2,FALSE,282,778.7281028368794,742.6012730496454,7447.778794326241,666.1271595744681,632.2780070921985,10446.280177304965,5.184397163120567,4.198581560283688,45.00709219858156,0.8514558138430803,0.9642753137427843
600,800,400,700,170,47,0,3,TRUE,818,778.5129987775061,772.2091992665037,6035.485574572127,668.8819290953545,674.5760122249388,7157.061907090465,1.1161369193154034,0.8704156479217604,38.80073349633252,0.6621999345507451,0.685984238522789
600,800,400,700,170,47,0,3,FALSE,182,779.4913791208792,740.1706153846154,7545.453626373626,677.367532967033,628.8988956043956,10757.547197802198,6.225274725274725,4.884615384615385,46.456043956043956,0.8751043848272132,1.0117635459080359
600,800,400,700,170,47,0,4,TRUE,922,781.6986485900217,771.6743177874187,6350.807136659436,671.9266453362256,670.557295010846,7564.7603796095445,1.4522776572668112,1.123644251626898,39.32646420824295,0.6768858587817244,0.7075912879854075
