iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
10,0,450,120,0,10,0,0,0,61,27.9,13.9,-143.078,156.183,92115.8,-266.016,39.6739,83332.1
10,0,450,130,0,9,1,0,0,59.9,20.6,10.2,-97.2244,223.827,85900.9,-152.349,138.016,80819.4
10,0,450,140,2,2,6,0,0,47.3,6.4,2.2,133.02,381.301,44542.5,-12.4309,278.413,55625.1
10,0,450,150,5,0,5,0,0,38.4,0.2,0.2,272.543,527.893,29245.4,171.937,437.92,28178.7
10,0,450,160,9,0,1,0,0,38.2,0.1,0.1,445.468,567.37,17431.6,365.227,500.118,16467.5
10,0,450,170,10,0,0,0,0,38,0,0,762.902,771.447,8090.98,613.268,655.456,6715.18
10,0,450,180,10,0,0,0,0,38,0,0,982.533,893.552,6032.38,663.908,654.863,5706.71
10,0,450,190,10,0,0,0,0,38,0,0,1121.01,962.129,17045,950.474,820.111,18542.7
10,0,450,200,10,0,0,0,0,38,0,0,1167.47,958.323,15733,984.1,868.312,25155.6
10,0,500,100,0,10,0,0,0,61,39.5,35.1,-771.783,-110.838,216899,-957.488,-250.652,243753
10,0,500,110,0,10,0,0,0,61,34.5,29.4,-474.637,5.12513,150618,-599.658,-75.9605,144830
10,0,500,120,0,9,1,0,0,58.9,26.5,15.1,-124.461,154.944,88967.1,-203.337,105.404,83235.4
10,0,500,130,0,8,2,0,0,59.9,22.3,9.2,-83.4476,221.032,82530.9,-131.489,101.709,61077.8
10,0,500,140,5,1,4,0,0,41.5,2.6,0.7,218.441,487.942,42177.9,55.4612,335.487,41988.8
10,0,500,150,9,0,1,0,0,38.3,0.2,0.1,235.478,504.806,37108.4,358.4,525.884,10935.8
10,0,500,160,10,0,0,0,0,38,0,0,546.999,656.701,13273.9,369.809,533.201,18767.3
10,0,500,170,10,0,0,0,0,38,0,0,765.437,762.818,4558.54,630.539,648.481,6115.52
10,0,500,180,10,0,0,0,0,38,0,0,977.211,831.745,12540.1,694.139,683.662,7257.73
10,0,500,190,10,0,0,0,0,38,0,0,1021.28,907.396,9685.11,942.592,786.881,15011.1
10,0,500,200,10,0,0,0,0,38,0,0,1335.69,1047.32,31003.1,1142.71,951.035,36683.9
10,0,550,100,0,10,0,0,0,61,41.2,37.7,-999.053,-196.223,256018,-1098.23,-307.574,288157
10,0,550,110,0,10,0,0,0,61,35.8,31.5,-514.772,10.1792,166609,-721.936,-90.5712,165646
10,0,550,120,0,9,1,0,0,59.6,28.2,17,-201.154,137.496,92001.5,-306.839,25.6827,97805.7
10,0,550,130,2,5,3,0,0,53.4,15.3,8.4,5.12679,296.238,78914.8,-42.0417,199.155,59897.7
10,0,550,140,3,0,7,0,0,45.7,5.2,1.2,139.436,389.212,46656.6,38.3472,295.8,50746
10,0,550,150,8,0,2,0,0,38,0,0,301.893,523.094,36953.8,212.911,419.618,25899.8
10,0,550,160,9,0,1,0,0,38.2,0.1,0.1,621.817,679.589,10304.3,365.533,504.527,17259.3
10,0,550,170,10,0,0,0,0,38,0,0,701.682,732.676,6765.5,599.575,650.26,4750.74
10,0,550,180,10,0,0,0,0,38,0,0,954.757,842.864,6651.04,659.803,684.186,8196.1
10,0,550,190,10,0,0,0,0,38,0,0,1131.45,958.28,16402.5,1033.76,844.201,21562
10,0,550,200,10,0,0,0,0,38,0,0,1261.4,1003.97,27828.7,1119.34,873.869,25882.9
10,0,600,100,0,10,0,0,0,61,40.2,37.5,-1047.38,-204.642,266653,-1066.83,-276.045,276420
10,0,600,110,0,10,0,0,0,61,36.4,29,-431.926,-11.866,147203,-633.012,-110.059,155921
10,0,600,120,0,9,1,0,0,58.9,24.8,12.5,-173.033,140.68,86186.1,-207.703,101.052,89244.3
10,0,600,130,1,8,1,0,0,56.9,19.1,7.2,-59.9116,220.818,78738.1,-96.7616,141.217,78869
10,0,600,140,5,0,5,0,0,40.8,1.9,0.9,123.637,432.397,49163.3,113.954,398.51,37353
10,0,600,150,8,0,2,0,0,38.3,0.2,0.1,371.211,580.766,23114.7,249.292,479.582,28311.2
10,0,600,160,10,0,0,0,0,38,0,0,440.952,616.968,18676.2,330.523,504.12,14764.6
10,0,600,170,10,0,0,0,0,38,0,0,665.998,718.822,7541.91,469.704,580.582,8158.25
10,0,600,180,10,0,0,0,0,38,0,0,1013.16,889.112,8605.25,823.609,741.324,6850.44
10,0,600,190,10,0,0,0,0,38,0,0,1104.04,940.433,12130.5,990.682,826.45,22102
10,0,600,200,10,0,0,0,0,38,0,0,1297.5,1054.98,24219.6,1051.71,884.365,21821.3
10,0,650,100,0,10,0,0,0,61,37.5,33.2,-818.685,-94.8113,223506,-1015.26,-263.635,271325
10,0,650,110,0,10,0,0,0,61,34.5,29.5,-477.474,-28.8064,154297,-564.084,-12.8699,137743
10,0,650,120,0,10,0,0,0,61,30,19.6,-284.119,126.81,117834,-299.361,33.6788,93032.7
10,0,650,130,1,4,5,0,0,53.4,12.4,4.1,25.6247,259.334,65913.7,-61.4717,223.117,64766
10,0,650,140,6,1,3,0,0,43.3,4.6,1.3,207.221,427.542,45365.9,18.6513,303.529,50880.5
10,0,650,150,9,0,1,0,0,38,0,0,441.784,600.574,16822.2,295.985,483.172,18833.4
10,0,650,160,10,0,0,0,0,38,0,0,556.368,636.54,15573.5,360.521,517.298,12693.2
10,0,650,170,10,0,0,0,0,38,0,0,749.427,746.915,8879.6,632.461,616.644,9964.24
10,0,650,180,10,0,0,0,0,38,0,0,899.967,852.57,9314.91,716.364,722.129,7163.6
10,0,650,190,10,0,0,0,0,38,0,0,1135.72,954.044,16646.1,982.862,858.679,19403.5
10,0,650,200,10,0,0,0,0,38,0,0,1245.94,1040.34,19470.8,1131.8,911.393,27203.8
10,0,700,100,0,10,0,0,0,61,39.6,36.4,-1003.65,-212.536,261086,-890.034,-195.778,228141
10,0,700,110,0,10,0,0,0,61,35.8,27.4,-554.701,-26.7815,168489,-568.526,-62.9826,130065
10,0,700,120,0,10,0,0,0,61,25.3,12.4,-281.672,152.655,100277,-262.723,69.9477,92596.7
10,0,700,130,0,6,4,0,0,52.8,14.8,7.4,-39.792,250.539,86297.2,-28.0649,235.405,59932.5
10,0,700,140,2,2,6,0,0,45.5,6.5,2.1,54.2474,336.325,60141,29.3598,317.71,47225.4
10,0,700,150,8,0,2,0,0,38,0,0,411.848,564.24,16077.7,249.44,457.385,20683.1
10,0,700,160,10,0,0,0,0,38,0,0,634.764,709.767,11394.8,470.508,561.537,7033.72
10,0,700,170,10,0,0,0,0,38,0,0,688.392,731.284,8019.46,582.987,598.207,5999.24
10,0,700,180,10,0,0,0,0,38,0,0,841.952,814.182,8181.25,740.114,728.148,5988.72
10,0,700,190,10,0,0,0,0,38,0,0,1168.47,978.537,22153.3,970.496,828.679,14046.3
10,0,700,200,10,0,0,0,0,38,0,0,1241.55,1017.57,22729,1189.19,947.33,33470.9
