iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
20000,0,300,151,13308,711,5976,5,0,43.599,3.8144,0.94995,199.525,432.107,39673.6,548.865,609.678,11624.4
20000,0,300,154,15270,245,4481,4,0,42.0069,2.65535,0.69965,251.673,468.774,34464,568.671,625.546,10764.3
20000,0,300,157,16788,59,3153,0,0,40.8111,1.82415,0.52245,309.408,505.262,29358.6,591.862,642.688,9778.82
20000,0,300,160,17993,9,1998,0,0,39.862,1.1859,0.38525,369.059,541.925,24838.9,617.249,659.56,9098.3
20000,0,350,130,585,17684,1727,4,0,59.4832,25.0285,9.69045,-79.1951,173.421,76692.5,342.002,446.276,24522.4
20000,0,350,133,1269,15614,3105,12,0,58.156,21.2119,7.25005,-43.5466,203.973,71255.8,384.957,477.746,21682.7
20000,0,350,136,2441,12834,4706,19,0,56.2544,17.4585,5.3015,-8.93798,238.833,65978.3,422.695,506.12,19139.6
20000,0,350,139,4051,9472,6453,24,0,53.8352,13.7721,3.7379,26.4339,276.077,60839.4,455.626,533.625,16970.8
20000,0,350,142,6155,6285,7514,46,0,51.2878,10.6493,2.635,64.2571,315.209,55218.1,483.476,554.887,15415.1
20000,0,350,145,8852,3614,7502,32,0,48.5592,7.90975,1.8527,107.811,356.723,49446.3,508.662,575.546,13859.9
20000,0,350,148,11286,1822,6866,26,0,46.1091,5.7587,1.29225,154.547,397.102,43643.8,531.766,595.156,12626
20000,0,350,151,13721,672,5589,18,0,43.9746,4.0654,0.93825,206.677,437.303,38227.4,549.868,609.1,11613.5
20000,0,350,154,15728,264,4000,8,0,42.318,2.86645,0.71185,261.928,474.972,32783.5,571.36,626.922,10739.8
20000,0,350,157,17223,70,2704,3,0,41.0669,1.992,0.5419,320.414,511.763,27973.5,592.703,642.564,9787.16
20000,0,350,160,18329,16,1654,1,0,40.1116,1.349,0.41785,380.144,546.975,23472.1,616.538,659.539,9235.93
20000,0,400,130,598,17712,1676,14,0,59.52,25.0432,9.4439,-77.5557,179.996,76258,348.087,451.898,24058.3
20000,0,400,133,1354,15519,3101,26,0,58.1674,21.2339,6.99865,-42.9007,211.663,70685.5,389.831,482.397,21169.3
20000,0,400,136,2542,12781,4635,42,0,56.3195,17.5098,5.12675,-6.51919,245.724,65381.3,421.791,506.873,19019.3
20000,0,400,139,4324,9529,6081,66,0,54.0395,13.9519,3.6408,28.1116,283.661,59639.5,453.063,531.667,17139.6
20000,0,400,142,6576,6344,7019,61,0,51.4873,10.8177,2.55375,70.5553,322.941,53749.3,483.817,556.857,15206.9
20000,0,400,145,9036,3741,7163,60,0,48.9733,8.21975,1.81475,111.09,361.728,48341.6,510.632,576.396,13695.4
20000,0,400,148,11730,1830,6393,47,0,46.5273,6.0436,1.2781,162.88,403.864,42209,533.139,595.287,12677
20000,0,400,151,14116,755,5099,30,0,44.4171,4.38145,0.94815,214.259,443.364,36716,551.971,610.033,11699.5
20000,0,400,154,16051,260,3673,16,0,42.7173,3.13145,0.72205,271.69,480.543,31487,574.872,628.599,10673.2
20000,0,400,157,17543,55,2399,3,0,41.4098,2.21615,0.5671,332.128,519.054,26478.1,594.25,642.714,9954.04
20000,0,400,160,18560,14,1425,1,0,40.4137,1.5454,0.45495,389.088,552.202,22400.7,617.797,659.03,9199.88
20000,0,450,130,634,17647,1701,18,0,59.5324,24.9946,9.16105,-75.9243,187.434,76329.8,344.501,449.703,24279.9
20000,0,450,133,1354,15669,2941,36,0,58.26,21.2774,6.83005,-40.2453,219.773,70857,380.979,476.112,21835.8
20000,0,450,136,2545,12823,4562,70,0,56.4795,17.6778,4.9896,-6.65677,252.86,65294.3,424.493,507.327,18925.6
20000,0,450,139,4390,9521,5982,107,0,54.2005,14.0176,3.4683,31.5232,292.306,59163.1,456.315,533.263,16863.5
20000,0,450,142,6772,6376,6738,114,0,51.7141,10.9784,2.4414,72.4682,331.181,53311.8,482.518,554.36,15271.9
20000,0,450,145,9477,3630,6779,114,0,49.1808,8.36955,1.74205,120.861,373.106,46947.3,508.2,574.982,13883.2
20000,0,450,148,12095,1806,5993,106,0,46.8199,6.25595,1.24685,171.901,412.691,40884.8,533.116,595.199,12545.2
20000,0,450,151,14444,733,4764,59,0,44.7985,4.63665,0.94405,225.811,451.316,35154.3,553.901,611.455,11665.2
20000,0,450,154,16414,240,3328,18,0,43.0701,3.35875,0.73725,281.278,488.648,30003.8,576.197,629.17,10701.1
20000,0,450,157,17765,66,2164,5,0,41.8034,2.478,0.5958,339.553,523.303,25225.3,599.649,645.744,9805.78
20000,0,450,160,18787,23,1190,0,0,40.7299,1.75425,0.48345,403.686,559.829,20849.9,622.166,661.424,9131.08
20000,0,500,130,582,17720,1667,31,0,59.6249,25.1434,9.01945,-76.3266,194.057,76431.3,348.793,451.365,24107.6
20000,0,500,133,1369,15613,2965,53,0,58.2883,21.3913,6.67895,-37.6391,226.634,70951,389.941,481.477,21127.3
20000,0,500,136,2616,12730,4544,110,0,56.4982,17.609,4.74995,-4.63528,261.118,64948.7,426.335,509.374,18599.7
20000,0,500,139,4538,9581,5739,142,0,54.3762,14.2446,3.4042,34.6338,299.266,58914.4,454.096,531.93,16934.5
20000,0,500,142,6964,6350,6498,188,0,51.9068,11.1416,2.3774,78.0223,340.564,52518,484.638,556.54,15204.5
20000,0,500,145,9667,3698,6459,176,0,49.5245,8.62295,1.6979,125.767,381.673,46171.5,512.45,577.045,13806.7
20000,0,500,148,12413,1786,5658,143,0,47.1249,6.4559,1.22215,178.364,421.738,39818.6,531.506,593.92,12699.5
20000,0,500,151,14846,769,4305,80,0,45.1726,4.8973,0.93825,236.204,461.312,33816.9,555.729,612.297,11557.5
20000,0,500,154,16726,234,2999,41,0,43.4988,3.65475,0.748,293.148,497.531,28593.5,579.012,629.784,10621.8
20000,0,500,157,18167,61,1751,21,0,42.1427,2.7022,0.6218,355.323,534.33,23675.9,597.904,643.939,9894.9
