Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,400,1000,170,47,0,0.998,0.001,0.001,0
200,300,400,1000,170,47,1,0.638,0.341,0.021,0
200,300,500,600,130,47,0,0.007,0.403,0.537,0.053
200,300,500,600,130,47,1,0,0.928,0.067,0.005
200,300,500,600,140,47,0,0.273,0.104,0.427,0.196
200,300,500,600,140,47,1,0.021,0.698,0.233,0.048
200,300,500,600,150,47,0,0.86,0.014,0.069,0.057
200,300,500,600,150,47,1,0.356,0.352,0.213,0.079
200,300,500,600,160,47,0,0.998,0,0.002,0
200,300,500,600,160,47,1,0.77,0.165,0.059,0.006
200,300,500,600,170,47,0,1,0,0,0
200,300,500,600,170,47,1,0.957,0.041,0.002,0
200,300,500,700,130,47,0,0.013,0.419,0.541,0.027
200,300,500,700,130,47,1,0,0.945,0.051,0.004
200,300,500,700,140,47,0,0.225,0.094,0.53,0.151
200,300,500,700,140,47,1,0.014,0.756,0.2,0.03
200,300,500,700,150,47,0,0.815,0.017,0.129,0.039
200,300,500,700,150,47,1,0.264,0.462,0.205,0.069
200,300,500,700,160,47,0,0.987,0.002,0.01,0.001
200,300,500,700,160,47,1,0.709,0.215,0.068,0.008
200,300,500,700,170,47,0,0.999,0,0.001,0
200,300,500,700,170,47,1,0.937,0.055,0.008,0
200,300,500,800,130,47,0,0.004,0.45,0.521,0.025
200,300,500,800,130,47,1,0,0.952,0.047,0.001
200,300,500,800,140,47,0,0.154,0.134,0.56,0.152
200,300,500,800,140,47,1,0.006,0.829,0.144,0.021
200,300,500,800,150,47,0,0.727,0.029,0.172,0.072
200,300,500,800,150,47,1,0.16,0.602,0.174,0.064
200,300,500,800,160,47,0,0.986,0,0.012,0.002
200,300,500,800,160,47,1,0.557,0.349,0.082,0.012
200,300,500,800,170,47,0,1,0,0,0
200,300,500,800,170,47,1,0.89,0.103,0.007,0
200,300,500,900,130,47,0,0.003,0.448,0.53,0.019
200,300,500,900,130,47,1,0,0.95,0.049,0.001
200,300,500,900,140,47,0,0.136,0.117,0.61,0.137
200,300,500,900,140,47,1,0.005,0.826,0.156,0.013
200,300,500,900,150,47,0,0.678,0.016,0.22,0.086
200,300,500,900,150,47,1,0.103,0.684,0.172,0.041
200,300,500,900,160,47,0,0.981,0.003,0.014,0.002
200,300,500,900,160,47,1,0.42,0.492,0.078,0.01
200,300,500,900,170,47,0,1,0,0,0
200,300,500,900,170,47,1,0.769,0.214,0.017,0
200,300,500,1000,130,47,0,0,0.471,0.522,0.007
200,300,500,1000,130,47,1,0,0.946,0.054,0
200,300,500,1000,140,47,0,0.096,0.141,0.613,0.15
200,300,500,1000,140,47,1,0.001,0.863,0.123,0.013
200,300,500,1000,150,47,0,0.634,0.03,0.226,0.11
200,300,500,1000,150,47,1,0.056,0.755,0.139,0.05
200,300,500,1000,160,47,0,0.959,0.003,0.031,0.007
200,300,500,1000,160,47,1,0.324,0.566,0.088,0.022
200,300,500,1000,170,47,0,0.999,0.001,0,0
200,300,500,1000,170,47,1,0.636,0.34,0.024,0
200,300,600,700,130,47,0,0.003,0.454,0.497,0.046
200,300,600,700,130,47,1,0,0.946,0.053,0.001
200,300,600,700,140,47,0,0.195,0.122,0.446,0.237
200,300,600,700,140,47,1,0.016,0.778,0.17,0.036
200,300,600,700,150,47,0,0.802,0.015,0.101,0.082
200,300,600,700,150,47,1,0.237,0.488,0.208,0.067
200,300,600,700,160,47,0,0.993,0.001,0.004,0.002
200,300,600,700,160,47,1,0.689,0.241,0.065,0.005
200,300,600,700,170,47,0,1,0,0,0
200,300,600,700,170,47,1,0.94,0.051,0.009,0
200,300,600,800,130,47,0,0.005,0.43,0.537,0.028
200,300,600,800,130,47,1,0,0.946,0.052,0.002
200,300,600,800,140,47,0,0.164,0.157,0.512,0.167
200,300,600,800,140,47,1,0.006,0.823,0.148,0.023
200,300,600,800,150,47,0,0.753,0.02,0.149,0.078
