Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,300,1000,160,47,0,0.964,0.004,0.03,0.002
200,300,300,1000,160,47,1,0.592,0.295,0.095,0.018
200,300,300,1000,170,47,0,0.999,0.001,0,0
200,300,300,1000,170,47,1,0.829,0.151,0.02,0
200,300,400,500,130,47,0,0.019,0.417,0.514,0.05
200,300,400,500,130,47,1,0.001,0.841,0.144,0.014
200,300,400,500,140,47,0,0.366,0.106,0.379,0.149
200,300,400,500,140,47,1,0.109,0.415,0.358,0.118
200,300,400,500,150,47,0,0.914,0.016,0.047,0.023
200,300,400,500,150,47,1,0.685,0.136,0.125,0.054
200,300,400,500,160,47,0,0.998,0.001,0.001,0
200,300,400,500,160,47,1,0.97,0.016,0.014,0
200,300,400,500,170,47,0,1,0,0,0
200,300,400,500,170,47,1,0.995,0.005,0,0
200,300,400,600,130,47,0,0.023,0.431,0.507,0.039
200,300,400,600,130,47,1,0.004,0.836,0.156,0.004
200,300,400,600,140,47,0,0.333,0.098,0.458,0.111
200,300,400,600,140,47,1,0.073,0.513,0.354,0.06
200,300,400,600,150,47,0,0.872,0.011,0.094,0.023
200,300,400,600,150,47,1,0.559,0.194,0.196,0.051
200,300,400,600,160,47,0,0.995,0.002,0.003,0
200,300,400,600,160,47,1,0.936,0.027,0.035,0.002
200,300,400,600,170,47,0,1,0,0,0
200,300,400,600,170,47,1,0.992,0.006,0.002,0
200,300,400,700,130,47,0,0.013,0.42,0.541,0.026
200,300,400,700,130,47,1,0.001,0.869,0.128,0.002
200,300,400,700,140,47,0,0.272,0.107,0.511,0.11
200,300,400,700,140,47,1,0.052,0.578,0.322,0.048
200,300,400,700,150,47,0,0.813,0.017,0.14,0.03
200,300,400,700,150,47,1,0.463,0.256,0.227,0.054
200,300,400,700,160,47,0,0.994,0.001,0.005,0
200,300,400,700,160,47,1,0.876,0.074,0.049,0.001
200,300,400,700,170,47,0,1,0,0,0
200,300,400,700,170,47,1,0.988,0.011,0.001,0
200,300,400,800,130,47,0,0.012,0.456,0.507,0.025
200,300,400,800,130,47,1,0,0.882,0.115,0.003
200,300,400,800,140,47,0,0.212,0.131,0.538,0.119
200,300,400,800,140,47,1,0.034,0.632,0.279,0.055
200,300,400,800,150,47,0,0.753,0.026,0.16,0.061
200,300,400,800,150,47,1,0.341,0.382,0.215,0.062
200,300,400,800,160,47,0,0.979,0.005,0.014,0.002
200,300,400,800,160,47,1,0.746,0.182,0.066,0.006
200,300,400,800,170,47,0,1,0,0,0
200,300,400,800,170,47,1,0.957,0.039,0.004,0
200,300,400,900,130,47,0,0.006,0.465,0.509,0.02
200,300,400,900,130,47,1,0,0.877,0.114,0.009
200,300,400,900,140,47,0,0.158,0.147,0.581,0.114
200,300,400,900,140,47,1,0.019,0.688,0.263,0.03
200,300,400,900,150,47,0,0.715,0.024,0.196,0.065
200,300,400,900,150,47,1,0.235,0.461,0.238,0.066
200,300,400,900,160,47,0,0.978,0.002,0.019,0.001
200,300,400,900,160,47,1,0.712,0.209,0.069,0.01
200,300,400,900,170,47,0,0.999,0,0.001,0
200,300,400,900,170,47,1,0.905,0.087,0.008,0
200,300,400,1000,130,47,0,0.004,0.455,0.528,0.013
200,300,400,1000,130,47,1,0,0.878,0.121,0.001
200,300,400,1000,140,47,0,0.121,0.152,0.606,0.121
200,300,400,1000,140,47,1,0.012,0.686,0.268,0.034
200,300,400,1000,150,47,0,0.628,0.03,0.236,0.106
200,300,400,1000,150,47,1,0.188,0.483,0.249,0.08
200,300,400,1000,160,47,0,0.966,0.002,0.026,0.006
200,300,400,1000,160,47,1,0.616,0.273,0.089,0.022
200,300,400,1000,170,47,0,1,0,0,0
200,300,400,1000,170,47,1,0.87,0.114,0.016,0
200,300,500,600,130,47,0,0.008,0.43,0.522,0.04
200,300,500,600,130,47,1,0,0.85,0.144,0.006
200,300,500,600,140,47,0,0.285,0.101,0.407,0.207
200,300,500,600,140,47,1,0.067,0.489,0.362,0.082
200,300,500,600,150,47,0,0.862,0.01,0.073,0.055
200,300,500,600,150,47,1,0.549,0.184,0.185,0.082
200,300,500,600,160,47,0,0.994,0.001,0.004,0.001
200,300,500,600,160,47,1,0.926,0.049,0.022,0.003
200,300,500,600,170,47,0,1,0,0,0
200,300,500,600,170,47,1,0.998,0.002,0,0
200,300,500,700,130,47,0,0.011,0.428,0.541,0.02
200,300,500,700,130,47,1,0,0.853,0.142,0.005
200,300,500,700,140,47,0,0.218,0.133,0.499,0.15
200,300,500,700,140,47,1,0.047,0.598,0.298,0.057
200,300,500,700,150,47,0,0.816,0.014,0.127,0.043
200,300,500,700,150,47,1,0.45,0.262,0.213,0.075
200,300,500,700,160,47,0,0.99,0.002,0.007,0.001
200,300,500,700,160,47,1,0.881,0.072,0.041,0.006
200,300,500,700,170,47,0,1,0,0,0
200,300,500,700,170,47,1,0.988,0.012,0,0
200,300,500,800,130,47,0,0.006,0.445,0.53,0.019
200,300,500,800,130,47,1,0,0.883,0.115,0.002
200,300,500,800,140,47,0,0.159,0.132,0.549,0.16
200,300,500,800,140,47,1,0.017,0.681,0.267,0.035
200,300,500,800,150,47,0,0.759,0.014,0.16,0.067
200,300,500,800,150,47,1,0.305,0.374,0.256,0.065
200,300,500,800,160,47,0,0.981,0.002,0.015,0.002
200,300,500,800,160,47,1,0.779,0.153,0.061,0.007
200,300,500,800,170,47,0,0.998,0,0.002,0
200,300,500,800,170,47,1,0.967,0.03,0.003,0
200,300,500,900,130,47,0,0,0.488,0.499,0.013
200,300,500,900,130,47,1,0,0.872,0.125,0.003
200,300,500,900,140,47,0,0.163,0.144,0.569,0.124
200,300,500,900,140,47,1,0.022,0.665,0.278,0.035
200,300,500,900,150,47,0,0.683,0.021,0.206,0.09
200,300,500,900,150,47,1,0.225,0.457,0.239,0.079
200,300,500,900,160,47,0,0.974,0.003,0.015,0.008
200,300,500,900,160,47,1,0.65,0.246,0.087,0.017
200,300,500,900,170,47,0,1,0,0,0
200,300,500,900,170,47,1,0.912,0.077,0.011,0
200,300,500,1000,130,47,0,0.001,0.461,0.525,0.013
200,300,500,1000,130,47,1,0,0.868,0.13,0.002
200,300,500,1000,140,47,0,0.092,0.164,0.605,0.139
200,300,500,1000,140,47,1,0.009,0.701,0.256,0.034
200,300,500,1000,150,47,0,0.612,0.023,0.243,0.122
200,300,500,1000,150,47,1,0.179,0.517,0.216,0.088
200,300,500,1000,160,47,0,0.958,0.007,0.025,0.01
200,300,500,1000,160,47,1,0.589,0.301,0.092,0.018
200,300,500,1000,170,47,0,0.999,0.001,0,0
200,300,500,1000,170,47,1,0.855,0.133,0.011,0.001
200,300,600,700,130,47,0,0.003,0.428,0.535,0.034
200,300,600,700,130,47,1,0.001,0.843,0.152,0.004
200,300,600,700,140,47,0,0.199,0.124,0.468,0.209
200,300,600,700,140,47,1,0.045,0.586,0.287,0.082
200,300,600,700,150,47,0,0.814,0.011,0.103,0.072
200,300,600,700,150,47,1,0.424,0.279,0.199,0.098
200,300,600,700,160,47,0,0.989,0,0.008,0.003
200,300,600,700,160,47,1,0.875,0.076,0.041,0.008
200,300,600,700,170,47,0,1,0,0,0
200,300,600,700,170,47,1,0.976,0.023,0.001,0
200,300,600,800,130,47,0,0.004,0.431,0.537,0.028
200,300,600,800,130,47,1,0,0.884,0.115,0.001
200,300,600,800,140,47,0,0.16,0.135,0.515,0.19
200,300,600,800,140,47,1,0.015,0.66,0.277,0.048
200,300,600,800,150,47,0,0.749,0.01,0.164,0.077
200,300,600,800,150,47,1,0.3,0.395,0.23,0.075
200,300,600,800,160,47,0,0.989,0.001,0.01,0
200,300,600,800,160,47,1,0.775,0.158,0.061,0.006
200,300,600,800,170,47,0,1,0,0,0
200,300,600,800,170,47,1,0.947,0.04,0.012,0.001
200,300,600,900,130,47,0,0.002,0.445,0.534,0.019
200,300,600,900,130,47,1,0,0.879,0.116,0.005
200,300,600,900,140,47,0,0.115,0.12,0.607,0.158
200,300,600,900,140,47,1,0.013,0.693,0.259,0.035
200,300,600,900,150,47,0,0.688,0.025,0.195,0.092
200,300,600,900,150,47,1,0.215,0.441,0.249,0.095
200,300,600,900,160,47,0,0.976,0.002,0.021,0.001
200,300,600,900,160,47,1,0.691,0.209,0.085,0.015
200,300,600,900,170,47,0,1,0,0,0
200,300,600,900,170,47,1,0.909,0.084,0.007,0
200,300,600,1000,130,47,0,0,0.483,0.507,0.01
200,300,600,1000,130,47,1,0,0.873,0.123,0.004
200,300,600,1000,140,47,0,0.094,0.149,0.6,0.157
200,300,600,1000,140,47,1,0.009,0.733,0.217,0.041
200,300,600,1000,150,47,0,0.62,0.023,0.233,0.124
200,300,600,1000,150,47,1,0.172,0.485,0.263,0.08
200,300,600,1000,160,47,0,0.967,0.002,0.027,0.004
200,300,600,1000,160,47,1,0.586,0.301,0.09,0.023
200,300,600,1000,170,47,0,1,0,0,0
200,300,600,1000,170,47,1,0.853,0.125,0.022,0
