iteration,hatchSuccess,hatchDays,neglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F,meanIncubation_M,varIncubation_M,numIncubation_M,meanForaging_M,varForaging_M,numForaging_M,meanIncubation_F,varIncubation_F,numIncubation_F,meanForaging_F,varForaging_F,numForaging_F,incubationMetabolism,foragingMetabolism,minEnergyThreshold,maxEnergyThreshold
60,1,31,0,0,81.1363,104.435,62.4265,70.0071,84.2732,83.2328,1.07692,0.0710059,13,1,0,13,1,0,14,1.07692,0.0710059,13,10,11,15,80
61,1,31,0,0,70.868,81.7157,123.382,59.0888,82.3076,133.767,1.4,0.84,10,1.33333,0.222222,9,1.3,0.21,10,1.4,0.84,10,10,12,15,80
62,1,31,0,0,42.3499,84.0863,253.64,81.5164,83.1515,175.685,1.33333,0.722222,12,1.18182,0.330579,11,1.16667,0.305556,12,1.33333,0.722222,12,10,13,15,80
63,1,31,0,0,45.1796,64.9338,735.215,30.6388,65.7476,317.387,3.75,4.6875,4,3,2.66667,3,2.5,2.75,4,3.75,4.6875,4,10,14,15,80
64,0,31,9,9,76.7134,68.9053,530.3,41.7325,60.3053,802.105,1.8,2.56,5,4.2,40.96,5,2.16667,6.80556,6,1.8,2.56,5,10,15,15,80
65,1,31,6,6,70.5137,59.133,572.059,48.645,61.6141,671.294,2.5,6.75,4,2,2,3,3,7.6,5,2.5,6.75,4,10,16,15,80
66,1,31,11,6,68.5424,53.0477,747.76,40.3315,60.2447,540.726,3.33333,10.8889,3,1,0,2,2.5,6.75,4,5.33333,37.5556,3,10,17,15,80
67,0,31,11,10,42.1258,54.2869,714.323,24.8355,37.6858,1078.96,2.5,6.75,4,3.33333,10.8889,3,2.5,6.75,4,1,0,3,10,18,15,80
68,0,31,19,19,69.9691,71.4183,133.575,-7.03641,25.5483,1498.34,1,0,2,1,0,1,3.33333,10.8889,3,1,0,2,10,19,15,80
69,0,31,13,7,-6.72491,56.436,942.833,19.2577,26.5236,1090.89,3,8,3,7.5,42.25,2,3,8,3,1,0,2,10,20,15,80
70,0,31,10,8,-1.80202,39.5485,1111.57,11.7838,55.2717,942.343,3.33333,10.8889,3,1,0,2,2.75,9.1875,4,4,18,3,10,21,15,80
71,0,31,20,20,-28.4132,20.4105,1626.77,-57.105,10.0937,2188.44,1,0,2,1,0,1,3,8,3,1,0,2,10,22,15,80
72,0,31,20,20,-35.9823,15.8178,1743.63,-4.52764,35.6302,959.817,4.5,12.25,2,1,0,1,1,0,2,1,0,1,10,23,15,80
73,0,31,21,21,-33.7774,14.3373,1550.4,-54.1035,24.1515,1857.55,4,9,2,1,0,1,1,0,2,1,0,1,10,24,15,80
74,0,31,20,20,-44.7773,10.6703,2430.68,-68.2838,15.2655,2305.05,4.5,12.25,2,1,0,1,1,0,2,1,0,1,10,25,15,80
75,1,31,0,0,254.536,181.692,2693.89,213.857,155.023,1231.86,1,0,15,1,0,15,1,0,16,1,0,15,10,1,15,80
76,1,31,0,0,226.662,179.169,1303.93,212.276,155.377,1454.08,1,0,15,1,0,15,1,0,16,1,0,15,10,2,15,80
77,1,31,0,0,216.865,159.748,1307.69,195.168,143.545,1181.03,1,0,15,1,0,15,1,0,16,1,0,15,10,3,15,80
78,1,31,0,0,189.463,151.961,677.098,160.753,113.433,350.633,1,0,15,1,0,15,1,0,16,1,0,15,10,4,15,80
79,1,31,0,0,154.846,134.513,342.403,157.305,124.676,365.718,1,0,15,1,0,15,1,0,16,1,0,15,10,5,15,80
80,1,31,0,0,165.741,133.891,549.648,145.269,117.451,276.169,1,0,15,1,0,15,1,0,16,1,0,15,10,6,15,80
81,1,31,0,0,125.94,115.768,66.0884,145.255,116.363,253.197,1,0,15,1,0,15,1,0,16,1,0,15,10,7,15,80
82,1,31,0,0,125.159,123.438,189.229,139.92,111.803,165.44,1,0,15,1,0,15,1,0,16,1,0,15,10,8,15,80
83,1,31,0,0,110.646,104.983,80.5121,120.465,107.746,153.384,1,0,15,1,0,15,1,0,16,1,0,15,10,9,15,80
84,1,31,0,0,75.0182,87.3376,90.1259,88.9038,100.493,119.837,1,0,14,1.15385,0.284024,13,1.14286,0.265306,14,1,0,14,10,10,15,80
85,1,31,0,0,132.906,125.485,181.895,81.2287,86.0876,42.7486,1.06667,0.0622222,15,1,0,14,1,0,15,1.06667,0.0622222,15,10,11,15,80
86,1,31,0,0,64.7039,83.7229,129.97,96.18,80.7179,129.818,1.6,0.44,10,1.44444,0.469136,9,1.4,0.44,10,1.6,0.44,10,10,12,15,80
87,1,31,0,0,87.9622,89.0888,152.109,66.8218,82.5131,74.2904,1.36364,0.231405,11,1.27273,0.198347,11,1.25,0.1875,12,1.36364,0.231405,11,10,13,15,80
88,1,31,0,0,46.9771,73.5487,579.657,53.3157,70.728,353.693,2.5,3.25,6,2.2,2.56,5,2,2.33333,6,2.5,3.25,6,10,14,15,80
